symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session
US30,BUY,2024-03-06 06:00:00+00:00,2024-03-06 07:45:00+00:00,38579.9,38608.389285714286,0.4282461428571096,1.75,0,TRAILING_BE_EXIT,
US500,SELL,2024-03-06 04:00:00+00:00,2024-03-06 13:15:00+00:00,5088.38,5107.59,-4.130946857142879,9.25,1,SOFT_ATR_STOP,
US30,SELL,2024-03-06 08:00:00+00:00,2024-03-06 13:45:00+00:00,38592.2,38745.8,-6.38097128571446,5.75,2,SOFT_ATR_STOP,
USDJPY,SELL,2024-03-06 15:00:00+00:00,2024-03-06 17:45:00+00:00,149.388,149.27207142857142,3.029138476291759,2.75,0,TRAILING_BE_EXIT,
USDJPY,SELL,2024-03-06 18:00:00+00:00,2024-03-06 18:15:00+00:00,149.321,149.19885714285715,2.5911748079262686,0.25,0,TRAILING_BE_EXIT,
USDJPY,SELL,2024-03-06 19:00:00+00:00,2024-03-06 22:00:00+00:00,149.258,149.14310714285716,2.3978817181099137,3.0,0,TRAILING_BE_EXIT,
US30,BUY,2024-03-06 16:00:00+00:00,2024-03-07 04:00:00+00:00,38771.7,38627.3,-14.751548571427408,12.0,1,12H_ML_CUT,
USDJPY,BUY,2024-03-07 04:00:00+00:00,2024-03-07 08:00:00+00:00,148.664,147.938,-20.31679108815853,4.0,0,SOFT_ATR_STOP,
XAUUSD,SELL,2024-03-07 08:00:00+00:00,2024-03-07 11:30:00+00:00,2155.951,2153.517464285714,2.151235107143024,3.5,0,TRAILING_BE_EXIT,
US100,BUY,2024-03-07 00:00:00+00:00,2024-03-07 12:00:00+00:00,18006.33,18091.36,3.118766085714239,12.0,0,12H_ML_CUT,
USDCHF,SELL,2024-03-07 14:00:00+00:00,2024-03-07 14:30:00+00:00,0.87931,0.8788400000000001,1.7646851759135025,0.5,0,TRAILING_BE_EXIT,
NZDUSD,BUY,2024-03-07 16:00:00+00:00,2024-03-07 17:15:00+00:00,0.61659,0.6170439285714285,1.637487289999944,1.25,0,TRAILING_BE_EXIT,
