symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session,f_er_ratio,f_atr_ratio,f_rsi_h1_delta,f_rsi_m15_delta,f_adx,f_rsi_m15,f_RSI_M15,f_RSI_H1,f_RSI_H4,f_ADX,f_ATR,f_RSI_Delta,f_Volatility_Index,f_hour,f_Session_Code,f_RSI_H1_Div,f_Trend_Vol_Ratio
USDCAD,SELL,2024-10-15 14:00:00+00:00,2024-10-15 17:30:00+00:00,1.38139,1.3803737142857142,5.018145058232531,3.5,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.002849002849021413,1.7054617374105736,-10.721346515843251,2.305517476932714,35.24548589865462,51.6200191817854,51.6200191817854,59.92849122839024,83.25691124768106,35.24548589865462,0.0009642857142856716,31.63689206589566,0.0006980546509571313,14,4,9.928491228390243,0.03398671854512974
US30,SELL,2024-10-15 15:00:00+00:00,2024-10-16 03:00:00+00:00,42973.3,42803.0,13.054867428571661,12.0,0,12H_ML_CUT,OVERLAP_EU_US,0.35039865715484253,2.193025959238069,14.619211606838697,11.93611319447865,44.81595414082892,39.41538790008974,39.41538790008974,42.91614836024166,72.8671745889942,44.81595414082892,71.84285714285735,33.45178668890446,0.0016718021921252812,15,4,7.083851639758343,3219.706191060419
USDJPY,BUY,2024-10-15 18:00:00+00:00,2024-10-16 06:00:00+00:00,149.429,149.357,-1.958259060984331,12.0,0,12H_ML_CUT,US,0.3333333333333333,1.1795479222189467,-0.5781688178106492,-4.200627389930105,50.27134994709599,56.49946607320759,56.49946607320759,51.73272857019633,54.332275703783175,50.27134994709599,0.24721428571428664,-2.167190369424418,0.0016543929606320502,18,2,1.732728570196329,12.427795869064276
US500,SELL,2024-10-16 03:00:00+00:00,2024-10-16 07:45:00+00:00,5828.46,5824.796071428572,-0.33633992857146705,4.75,0,TRAILING_BE_EXIT,ASIA,0.2807486631016693,0.5672314740745854,1.3397402379817436,0.5579110979463167,68.22001302196402,50.06766445261186,50.06766445261186,35.304433419906246,52.41824117337587,68.22001302196402,10.737857142857138,2.3505767207640105,0.0018423146324856201,3,0,14.695566580093754,732.5367541137033
US30,BUY,2024-10-16 06:00:00+00:00,2024-10-16 11:15:00+00:00,42795.6,42810.86785714285,0.16434642857138698,5.25,0,TRAILING_BE_EXIT,ASIA,0.4353741496600491,0.24794887429286128,-0.32897445338888076,3.06990101686997,66.78183638060922,41.42407840667235,41.42407840667235,35.021810412347634,50.81533868429081,66.78183638060922,57.39285714286026,9.391260277618457,0.001341092475461502,6,0,14.978189587652366,3832.800395130173
GBPUSD,SELL,2024-10-16 13:00:00+00:00,2024-10-16 13:15:00+00:00,1.30147,1.3005289285714285,2.163202992856939,0.25,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.18716577540107968,1.1166052324013296,-4.80615150929691,-13.989804533883387,47.06340250872868,44.0633680020042,44.0633680020042,37.908884193092014,41.39585468813056,47.06340250872868,0.001882142857142864,-2.667513313873634,0.0014461669167501856,13,4,12.091115806907986,0.08858004686464323
US500,SELL,2024-10-16 08:00:00+00:00,2024-10-16 14:15:00+00:00,5827.59,5821.851428571428,-0.1286996428570899,6.25,0,TRAILING_BE_EXIT,OVERLAP_ASIA_EU,0.16653756777686735,0.7204130235876621,2.2425388841478835,18.60432065362987,76.64364839879691,50.500003016237855,50.500003016237855,36.44443200774477,53.19672319822698,76.64364839879691,7.199285714285712,2.6967201819891216,0.001235379584748706,8,3,13.555567992255227,551.7795230081956
GBPUSD,BUY,2024-10-16 14:00:00+00:00,2024-10-17 02:00:00+00:00,1.30248,1.29953,-6.480022435714456,12.0,2,12H_ML_CUT,OVERLAP_EU_US,0.1810766721044392,1.1803266943688273,4.4900733120462135,9.268170395748314,48.607414356768416,51.421374281414025,51.421374281414025,42.39895750513823,41.39585468813056,48.607414356768416,0.001970714285714286,-10.025519593283462,0.0015130476365965589,14,4,7.6010424948617725,0.0957913258645172
US100,SELL,2024-10-16 15:00:00+00:00,2024-10-17 03:00:00+00:00,20122.78,20155.63,-3.992724214285933,12.0,0,12H_ML_CUT,OVERLAP_EU_US,0.22314218542368944,1.4866376924254738,10.144373721952093,-1.7439768278810561,52.169547259928756,40.86956839876073,40.86956839876073,33.63807225076242,46.01589025184374,52.169547259928756,48.24142857142916,5.146321853083016,0.0023973540719239173,15,4,16.36192774923758,2516.733487743651
US30,SELL,2024-10-17 02:00:00+00:00,2024-10-17 06:45:00+00:00,43103.3,43081.66785714286,0.43706635714296305,4.75,0,TRAILING_BE_EXIT,ASIA,0.09302325581390539,0.5384913508409424,-0.901956171595458,-4.091923335543555,64.6877852515768,53.95301340439595,53.95301340439595,66.4553264306503,63.064993043576614,64.6877852515768,64.50000000000207,9.11197963918066,0.0014964051476337558,2,0,16.455326430650302,4172.362148726837
