symbol,direction,entry_time,session,profit_usd,is_win,RSI_M15,RSI_H1,RSI_H4,ADX,ATR,hour
USDJPY,SELL,2026-01-29T19:00:00+00:00,US,0.06535734126329797,1,47.448030317768506,46.71124469494465,34.57535956476792,16.56030328269619,0.3216867736532026,19
XAUUSD,BUY,2026-01-30T00:00:00+00:00,ASIA,-773.5396517650315,0,60.43538417250468,53.50768400049454,62.28019085777445,38.70128002199159,77.61583656073387,0
EURUSD,BUY,2026-01-27T21:00:00+00:00,US,-24.391115795238782,0,77.95327031361137,84.45118499995962,79.4835328279671,47.61977494879474,0.002692464045731119,21
GBPUSD,BUY,2026-01-27T21:00:00+00:00,US,-25.055675458726782,0,75.76466321913438,78.93134810668414,80.6854264492476,45.88875920027648,0.0027207941450778073,21
US100,SELL,2026-01-29T16:00:00+00:00,US,5.23833924881037,1,9.486264998003767,17.211062760730094,34.81192638842064,29.91762623490108,99.01505154388495,16
GBPUSD,SELL,2026-02-02T00:00:00+00:00,ASIA,4.999999999999893,1,40.14092122306846,29.97983998056866,41.63706627859263,35.5100671388744,0.002481869475150814,0
XAUUSD,SELL,2026-02-02T06:00:00+00:00,ASIA,44.92900000000009,1,28.755989572026355,25.2316630291451,28.77119893857666,62.318826716804324,121.44340283263844,6
USDJPY,BUY,2026-02-02T08:00:00+00:00,OVERLAP_ASIA_EU,0.43234732331822606,1,51.634193229407295,59.04632247686627,58.01946789615517,39.164536813280705,0.32364500555607156,8
EURUSD,SELL,2026-02-02T00:00:00+00:00,ASIA,4.999999999999893,1,39.24284008166724,28.810359172197312,40.01433592463355,37.833302655598764,0.0020806339469643933,0
USDCHF,BUY,2026-02-02T10:00:00+00:00,EUROPE,6.411982713294611,1,67.87106543769718,66.88096900589845,53.68883036083053,25.43840871468106,0.0015239925332833273,10
US500,SELL,2026-01-29T18:00:00+00:00,US,-0.9938885226246839,0,36.0245605258042,32.59684262673727,35.01076236329331,25.542794409448874,21.073767790947656,18
